Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow,Ticker,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Effect of Unusual Items,Earnings from Equity Interest Net of Tax,Average Dilution Earnings,Treasury Shares Number,Rent Expense Supplemental,Preferred Stock Equity,Preferred Shares Number,Credit Losses Provision,Non Interest Expense,Special Income Charges,Interest Income after Provision for Loan Loss,Total Money Market Investments,Cash Flow from Discontinued Operation
2023-09-29,383285000.0,214137000.0,169148000.0,54847000.0,114301000.0,-183000.0,-382000.0,113736000.0,16741000.0,96995000.0,96995000.0,6.16,6.13,15744231.0,15812547.0,114301000.0,268984000.0,96995000.0,96995000.0,3750000.0,3933000.0,-183000.0,117669000.0,129188000.0,214137000.0,11519000.0,96995000.0,129188000.0,0.0,352583000.0,290437000.0,62146000.0,157427000.0,62146000.0,12842000.0,62146000.0,-1742000.0,173234000.0,62146000.0,123930000.0,81123000.0,15550061.0,15550061.0,110543000.0,3705000.0,-108488000.0,30737000.0,18679000.0,3803000.0,-10959000.0,0.0,5228000.0,-11151000.0,-77550000.0,99584000.0,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,394328000.0,223546000.0,170782000.0,51345000.0,119437000.0,-106000.0,-228000.0,119103000.0,19300000.0,99803000.0,99803000.0,6.15,6.11,16215963.0,16325819.0,119437000.0,274891000.0,99803000.0,99803000.0,2825000.0,2931000.0,-106000.0,122034000.0,133138000.0,223546000.0,11104000.0,99803000.0,133138000.0,0.0,352755000.0,302083000.0,50672000.0,149631000.0,50672000.0,12411000.0,50672000.0,-18577000.0,170741000.0,50672000.0,132480000.0,96423000.0,15943425.0,15943425.0,122151000.0,-22354000.0,-110749000.0,24977000.0,19573000.0,2865000.0,-10708000.0,0.0,5465000.0,-9543000.0,-89402000.0,111443000.0,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,365817000.0,212981000.0,152836000.0,43887000.0,108949000.0,198000.0,60000.0,109207000.0,14527000.0,94680000.0,94680000.0,5.67,5.61,16701272.0,16864919.0,108949000.0,256868000.0,94680000.0,94680000.0,2843000.0,2645000.0,198000.0,111852000.0,123136000.0,212981000.0,11284000.0,94680000.0,123136000.0,0.0,351002000.0,287912000.0,63090000.0,172196000.0,63090000.0,11803000.0,63090000.0,9355000.0,187809000.0,63090000.0,136522000.0,89779000.0,16426786.0,16426786.0,104038000.0,-14545000.0,-93353000.0,35929000.0,25385000.0,2687000.0,-11085000.0,1105000.0,20393000.0,-8750000.0,-85971000.0,92953000.0,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,274515000.0,169559000.0,104956000.0,38668000.0,66288000.0,890000.0,-87000.0,67091000.0,9680000.0,57411000.0,57411000.0,3.31,3.28,17352119.0,17528214.0,66288000.0,208227000.0,57411000.0,57411000.0,3763000.0,2873000.0,890000.0,69964000.0,81020000.0,169559000.0,11056000.0,57411000.0,81020000.0,0.0,323888000.0,258549000.0,65339000.0,164006000.0,65339000.0,9842000.0,65339000.0,38321000.0,177775000.0,65339000.0,122278000.0,74420000.0,16976763.0,16976763.0,80674000.0,-4289000.0,-86820000.0,39789000.0,9501000.0,3002000.0,-7309000.0,880000.0,16091000.0,-12629000.0,-72358000.0,73365000.0,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781000.0,0.0,0.0,0.0,0.0,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-29,35820000.0,15869000.0,19951000.0,12163000.0,7788000.0,-381000.0,36000.0,7443000.0,104000.0,7232000.0,7232000.0,6.47,6.42,1117000.0,1126000.0,7788000.0,28032000.0,7232000.0,7388500.0,313000.0,694000.0,-381000.0,8137000.0,9946000.0,15869000.0,1809000.0,7339000.0,9996000.0,0.0,51040000.0,29459000.0,21581000.0,36065000.0,21581000.0,0.0,9531000.0,12836000.0,36979000.0,9531000.0,15398000.0,6948000.0,1114000.0,1114000.0,11299000.0,762000.0,-6663000.0,8527000.0,0.0,0.0,-1450000.0,434000.0,6948000.0,-7012000.0,-2973000.0,9849000.0,QCOM,-50000.0,-50000.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,44200000.0,18635000.0,25565000.0,9705000.0,15860000.0,-399000.0,-463000.0,14998000.0,2012000.0,12936000.0,12936000.0,11.52,11.37,1123000.0,1137000.0,15860000.0,28340000.0,12936000.0,13266140.0,91000.0,490000.0,-399000.0,15488000.0,17250000.0,18635000.0,1762000.0,12986000.0,17572000.0,0.0,49014000.0,31001000.0,18013000.0,31550000.0,18013000.0,0.0,5623000.0,8858000.0,33495000.0,5623000.0,15482000.0,12709000.0,1121000.0,1121000.0,9096000.0,-5804000.0,-7196000.0,3099000.0,0.0,0.0,-2262000.0,356000.0,8477000.0,-8892000.0,-3129000.0,6834000.0,QCOM,-322000.0,-322000.0,-41860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,33566000.0,14262000.0,19304000.0,9515000.0,9789000.0,-476000.0,961000.0,10274000.0,1231000.0,9043000.0,9043000.0,7.99,7.87,1131000.0,1149000.0,9789000.0,23777000.0,9043000.0,8311720.0,83000.0,559000.0,-476000.0,10833000.0,12415000.0,14262000.0,1582000.0,9043000.0,11584000.0,0.0,41240000.0,31290000.0,9950000.0,23651000.0,9950000.0,0.0,1246000.0,8124000.0,25695000.0,1246000.0,15745000.0,8629000.0,1125000.0,1125000.0,10536000.0,-3356000.0,-6798000.0,7116000.0,0.0,0.0,-1888000.0,347000.0,2886000.0,-2885000.0,-3366000.0,8648000.0,QCOM,831000.0,831000.0,99720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,23531000.0,9255000.0,14276000.0,8021000.0,6255000.0,-446000.0,-90000.0,5719000.0,521000.0,5198000.0,5198000.0,4.58,4.52,1135000.0,1149000.0,6255000.0,17276000.0,5198000.0,5303560.0,156000.0,602000.0,-446000.0,6321000.0,7714000.0,9255000.0,1393000.0,5198000.0,7830000.0,0.0,35594000.0,29517000.0,6077000.0,21303000.0,6077000.0,0.0,-1899000.0,9847000.0,21803000.0,-1899000.0,15726000.0,9019000.0,1131000.0,1131000.0,5814000.0,-5263000.0,-5707000.0,6707000.0,0.0,0.0,-1407000.0,329000.0,4836000.0,-5065000.0,-2450000.0,4407000.0,QCOM,-116000.0,-116000.0,-10440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QCOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-29,22680000.0,12220000.0,10460000.0,10059000.0,401000.0,100000.0,-9000.0,492000.0,-346000.0,854000.0,854000.0,0.53,0.53,1614000.0,1625000.0,401000.0,22279000.0,854000.0,854000.0,206000.0,106000.0,100000.0,598000.0,4149000.0,10538000.0,3551000.0,854000.0,4149000.0,0.0,67885000.0,11993000.0,55892000.0,57609000.0,55892000.0,535000.0,10267000.0,10079000.0,58360000.0,10267000.0,3003000.0,0.0,1663000.0,1616000.0,1667000.0,-1423000.0,-1146000.0,3933000.0,523000.0,84000.0,-546000.0,0.0,0.0,0.0,-1412000.0,1121000.0,AMD,0.0,0.0,0.0,16000.0,0.0,47000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-30,23601000.0,12998000.0,10603000.0,9339000.0,1264000.0,-23000.0,-57000.0,1184000.0,-122000.0,1320000.0,1320000.0,0.85,0.84,1561000.0,1571000.0,1264000.0,22337000.0,1320000.0,1320000.0,65000.0,88000.0,-23000.0,1272000.0,5534000.0,10836000.0,4262000.0,1320000.0,5534000.0,0.0,67580000.0,12830000.0,54750000.0,57217000.0,54750000.0,396000.0,6455000.0,8650000.0,57217000.0,6455000.0,2863000.0,0.0,1645000.0,1612000.0,3565000.0,1999000.0,-3264000.0,4835000.0,685000.0,85000.0,-450000.0,0.0,991000.0,-312000.0,-4108000.0,3115000.0,AMD,0.0,0.0,0.0,14000.0,0.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
