Name,Sector,Industry,Ticker
Apple Inc.,Technology,Consumer Electronics,AAPL
QUALCOMM Incorporated,Technology,Semiconductors,QCOM
"Advanced Micro Devices, Inc.",Technology,Semiconductors,AMD
NVIDIA Corporation,Technology,Semiconductors,NVDA
Shopify Inc.,Technology,Software - Application,SHOP
"Salesforce, Inc.",Technology,Software - Application,CRM
Microsoft Corporation,Technology,Software - Infrastructure,MSFT
"Zoom Video Communications, Inc.",Technology,Software - Application,ZM
"Uber Technologies, Inc.",Technology,Software - Application,UBER
Adobe Inc.,Technology,Software - Infrastructure,ADBE
"Dropbox, Inc.",Technology,Software - Infrastructure,DBX
Oracle Corporation,Technology,Software - Infrastructure,ORCL
Accenture plc,Technology,Information Technology Services,ACN
Globant S.A.,Technology,Information Technology Services,GLOB
"Airbnb, Inc.",Consumer Cyclical,Travel Services,ABNB
Booking Holdings Inc.,Consumer Cyclical,Travel Services,BKNG
Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,LULU
"Malibu Boats, Inc.",Consumer Cyclical,Recreational Vehicles,MBUU
BRP Inc.,Consumer Cyclical,Recreational Vehicles,DOOO
Polaris Inc.,Consumer Cyclical,Recreational Vehicles,PII
"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,NKE
adidas AG,Consumer Cyclical,Footwear & Accessories,ADS.DE
"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,AZO
"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,BBY
Capri Holdings Limited,Consumer Cyclical,Luxury Goods,CPRI
"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Cyclical,Luxury Goods,MC.PA
Signet Jewelers Limited,Consumer Cyclical,Luxury Goods,SIG
"Green Brick Partners, Inc.",Consumer Cyclical,Residential Construction,GRBK
Lennar Corporation,Consumer Cyclical,Residential Construction,LEN
Ferrari N.V.,Consumer Cyclical,Auto Manufacturers,RACE
"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,TSLA
"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,AMZN
"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,MELI
Starbucks Corporation,Consumer Cyclical,Restaurants,SBUX
McDonald's Corporation,Consumer Cyclical,Restaurants,MCD
Shake Shack Inc.,Consumer Cyclical,Restaurants,SHAK
"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,DPZ
"Papa John's International, Inc.",Consumer Cyclical,Restaurants,PZZA
Visa Inc.,Financial Services,Credit Services,V
Mastercard Incorporated,Financial Services,Credit Services,MA
"PayPal Holdings, Inc.",Financial Services,Credit Services,PYPL
American Express Company,Financial Services,Credit Services,AXP
The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,KO
"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,PEP
Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,MNST
Walmart Inc.,Consumer Defensive,Discount Stores,WMT
Costco Wholesale Corporation,Consumer Defensive,Discount Stores,COST
Target Corporation,Consumer Defensive,Discount Stores,TGT
"Sprouts Farmers Market, Inc.",Consumer Defensive,Grocery Stores,SFM
The Kroger Co.,Consumer Defensive,Grocery Stores,KR
"Krispy Kreme, Inc.",Consumer Defensive,Grocery Stores,DNUT
"Netflix, Inc.",Communication Services,Entertainment,NFLX
The Walt Disney Company,Communication Services,Entertainment,DIS
"Meta Platforms, Inc.",Communication Services,Internet Content & Information,META
Alphabet Inc.,Communication Services,Internet Content & Information,GOOGL
Spotify Technology S.A.,Communication Services,Internet Content & Information,SPOT
"DoorDash, Inc.",Communication Services,Internet Content & Information,DASH
"Match Group, Inc.",Communication Services,Internet Content & Information,MTCH
Roblox Corporation,Communication Services,Electronic Gaming & Multimedia,RBLX
Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,EA
