Date,Price,Ticker
2020-09-30,111.2,AAPL
2020-10-01,114.96,AAPL
2020-10-02,110.32,AAPL
2020-10-05,111.32,AAPL
2020-10-06,113.07,AAPL
2020-10-07,112.01,AAPL
2020-10-08,113.6,AAPL
2020-10-09,112.66,AAPL
2020-10-12,117.33,AAPL
2020-10-13,122.42,AAPL
2020-10-14,118.25,AAPL
2020-10-15,116.02,AAPL
2020-10-16,118.52,AAPL
2020-10-19,117.23,AAPL
2020-10-20,113.56,AAPL
2020-10-21,114.02,AAPL
2020-10-22,114.78,AAPL
2020-10-23,113.74,AAPL
2020-10-26,111.42,AAPL
2020-10-27,112.86,AAPL
2020-10-28,112.43,AAPL
2020-10-29,109.81,AAPL
2020-10-30,108.53,AAPL
2020-11-02,106.63,AAPL
2020-11-03,107.16,AAPL
2020-11-04,111.54,AAPL
2020-11-05,115.27,AAPL
2020-11-06,115.83,AAPL
2020-11-09,117.96,AAPL
2020-11-10,113.12,AAPL
2020-11-11,114.72,AAPL
2020-11-12,117.1,AAPL
2020-11-13,116.92,AAPL
2020-11-16,116.41,AAPL
2020-11-17,117.03,AAPL
2020-11-18,116.11,AAPL
2020-11-19,115.11,AAPL
2020-11-20,116.14,AAPL
2020-11-23,114.71,AAPL
2020-11-24,111.51,AAPL
2020-11-25,113.12,AAPL
2020-11-27,114.11,AAPL
2020-11-30,114.51,AAPL
2020-12-01,118.46,AAPL
2020-12-02,119.45,AAPL
2020-12-03,120.92,AAPL
2020-12-04,120.02,AAPL
2020-12-07,119.73,AAPL
2020-12-08,121.75,AAPL
2020-12-09,121.91,AAPL
2020-12-10,117.96,AAPL
2020-12-11,119.85,AAPL
2020-12-14,120.02,AAPL
2020-12-15,121.72,AAPL
2020-12-16,124.73,AAPL
2020-12-17,126.18,AAPL
2020-12-18,126.24,AAPL
2020-12-21,122.39,AAPL
2020-12-22,128.84,AAPL
2020-12-23,129.38,AAPL
2020-12-24,128.55,AAPL
2020-12-28,131.17,AAPL
2020-12-29,135.14,AAPL
2020-12-30,132.72,AAPL
2020-12-31,131.26,AAPL
2021-01-04,130.71,AAPL
2021-01-05,126.17,AAPL
2021-01-06,125.03,AAPL
2021-01-07,125.66,AAPL
2021-01-08,129.64,AAPL
2021-01-11,126.47,AAPL
